奸	gaan1
庛	ci3
𡛕	taai3
肢	zi1
眧	ciu1
黇	tin1
䈂	ping4
𩼈	ou2
蕸	haa4
瘼	mok6
𡡢	cong2
奾	sin1
轌	syut3
磆	waat6
覠	gwan1
黹	zi2
䵝	ji3
耛	ji4
蟕	zai1
鱴	mit6
瀚	hon6
禀	ban2
𧟘	nong6
輢	ji2
倝	gon3
鯸	hau4
筈	kut3
蟀	seot1
䧥	wai6
㻛	ji6
㨭	wu6
𤉸	geoi1
鏫	lei4
鋿	soeng4
狼	long4
䕀	fun2
㤳	bui2
㻥	jau4
㰖	laam5
鮊	baak6
㿈	jung1
糛	tong4
𤥂	jik6
㮻	sou1
揫	zau1
㛦	lam5
賫	zai1
䶯	kwai1
隌	am2
磫	zung1
䟀	caai1
愛	oi3
㵛	sin6
䥁	ham4
㦹	joeng4
鞫	guk1
亐	jyu1
舧	faan4
㑦	lai6
剫	dok6
匴	syun3
蜬	ham4
筓	gai1
䍞	wik6
㟵	gong1
㡼	ji6
詫	caa3
贆	biu1
㘌	koek6
鮼	cam1
虢	gwik1
尓	ji5
㝧	wan2
㿃	zai6
潂	hung4
䌃	siu1
豧	fu1
𨘻	jyun5
悪	ok3
鴗	lap6
㿋	sou3
靐	bang6
呯	ping4
粫	ji4
嫴	gu1
潅	gun3
俒	wan6
䢳	gei2
䭡	an3
𡟯	jan1
婊	biu2
虦	zaan6
庘	aap3
坕	ging1
嶞	do6
鈜	wang4
曓	bou6
邢	jing4
㯠	hin3
嫥	zyun1
櫋	min4
顰	pan4
䰘	lau4
甉	haam4
榕	jung4
𨜓	zing1
徃	wong5
褌	gwan1
乿	zi6
墋	cam2
竧	zing6
㯬	lim5
蔻	kau3
㡫	ai3
膘	biu1
䟥	mung4
橉	leon6
辝	ci4
麝	se6
垼	jik6
㨨	cau1
節	zit3
邇	ji5
瑃	ceon1
㽉	haam6
䢿	on1
㱊	jau1
嵞	tou4
猽	ming4
䨉	jing1
潉	wan6
盀	hei2
𨀤	leoi1
秇	ngai6
渿	noi6
盈	jing4
䂤	fu6
辥	sit3
㿍	gaai3
邠	ban1
㐏	ng5
𣫮	hou2
䯴	coeng4
澸	dam2
鶽	zeon2
鶭	fong2
褈	cung4
痑	taan1
擹	taan1
㺚	caat3
㩄	saai1
捲	gyun2
䯽	pau4
𤦏	fat1
衫	saam1
添	tim1
䶂	zoek3
㽽	gu3
㦧	caam2
蹯	faan4
䍄	dim2
㨾	joeng6
蹫	gwat1
𥣈	buk6
鬉	zung1
鋅	san1
旨	zi2
莭	zit3
㭹	jin4
蓱	ping4
琬	jyun2
梹	ban1
垊	man4
䧍	gwik1
磬	hing3
㠤	soeng1
虪	suk1
冹	fat1
䂊	jyu6
袀	gwan1
䑥	ngap6
舗	pou3
鸂	kai1
戤	koi3
㡤	jip6
遧	zoeng1
役	jik6
𠴱	wu4
𨌯	juk6
褄	cai1
巐	ciu2
䖿	lei4
蝢	kit3
𨑨	zat1
䡳	si1
㫓	hei3
犧	hei1
㿰	ngaau4
糘	gaa1
窃	sit3
鮤	lit6
蔏	soeng1
蟜	giu2
鐄	wong4
䅁	on3
卣	jau5
丆	daan1
鐣	zoeng2
竐	cuk1
尤	jau4
䓋	zi1
衐	geoi6
蜛	geoi1
笄	gai1
䡊	faan2
室	sat1
翊	jik6
螋	sau2
鲄	ho4
爨	cyun3
𢕔	zoeng1
侴	cau2
儱	lung5
慆	tou1
貴	gwai3
嬠	cam1
亭	ting4
龒	lung4
𠃊	jan2
鈡	zung1
按	on3
鮴	jau1
䴿	mung4
𧂈	ziu2
嶫	jip6
䀴	jing5
㔘	ceot1
醸	joeng6
婇	coi2
篺	paai4
髖	fun1
趫	kiu4
㣇	dai6
勀	hak1
䎖	zang1
奝	diu1
桒	song1
退	teoi3
塅	dyun6
椥	zi1
寲	ji4
鑜	soeng2
𨧧	zoek3
㪡	koi3
𢞁	fung1
𤇍	seot6
㚮	daam1
閝	ling4
䤜	deon6
蓪	tung1
礞	mung4
獀	sau1
𣵾	gwai1
炻	sek6
𧬸	tang4
岥	po1
𩅰	si1
㤕	ceot1
饗	hoeng2
㨝	sit3
厘	lei4
賢	jin4
䵌	him1
硂	cyun4
㣸	jeoi6
䱩	mong5
袃	caai3
𥖁	zyun1
㰲	juk1
㨠	mik6
䅡	seoi2
𠪴	co2
嚤	mo1
艪	lou5
募	mou6
蒤	tou4
㥤	ging1
㭣	man6
䪔	bou2
覱	zaam3
㾔	leoi5
𣌊	haa4
揩	haai1
媘	gaai1
愽	bok3
𤰚	laa1
㢩	dik1
㒟	niu5
㭫	co4
䗡	jin4
伈	sam2
逇	deon6
徱	piu3
練	lin6
㷺	saat3
骮	jik6
冝	ji4
㿚	lo6
䅽	hing1
彰	zoeng1
䐉	zi3
䵠	dik1
熪	ji4
𩶅	ci4
雌	ci1
㜀	soeng1
嚶	jing1
湄	mei4
㻍	ng4
摘	zaak6
䘞	maa6
䇏	deoi2
䭫	kai2
榡	sou3
𨃩	sin3
丂	haau2
冟	sik1
𣑲	pui3
㡝	fung6
鸁	lo4
砒	pei1
䋜	hing3
鮛	suk1
菢	bou6
䮴	dang6
寅	jan4
唆	so1
嘲	zaau1
挷	pong3
䆳	seoi6
唜	mut6
顕	hin2
暓	mau6
珏	gok3
篷	pung4
橒	wan4
𦆭	cyu5
䌫	laam6
妺	mut6
橲	hei2
堐	ngaai4
䥻	mou4
㶞	nong5
瞔	zaak3
抽	cau1
纜	laam6
𠼮	ngai1
㯖	dak6
鰍	cau1
葫	wu4
䗳	dang1
㰧	hoi1
祽	zeoi3
煑	zyu2
祍	jam6
朠	jing1
徸	cung1
𥱼	paai4
㒇	mou5
㓓	naam4
𢡱	kok3
惪	dak1
淌	tong2
楳	mui4
簭	sai6
㝐	jung4
某	mau5
賺	zaan6
㦲	zoi1
䫣	hai4
䩭	gei1
烑	jiu4
䞬	tau3
䙃	do6
䫈	zam6
嘴	zeoi2
椚	haan4
𡂴	lin4
蹝	saai2
𠶥	kung4
菐	duk6
薭	baai6
盋	but3
缽	but3
譈	deoi6
孭	me1
猝	cyut3
忊	ding6
熊	hung4
憮	mou5
饆	bat1
銹	sau3
礐	kok3
䦝	waak6
闏	fung1
聺	cit3
槌	ceoi4
龭	ji6
噒	leon1
岡	gong1
䝪	so2
䌰	nip6
䔙	diu3
䒁	zaap6
𠃮	tam5
橗	mang4
媙	wai1
㓽	sung4
霰	sin3
䆙	jiu4
䉺	hong2
箮	hyun1
跰	pin4
㣓	caan3
噧	haai3
璿	syun4
醅	pui1
䰇	kei4
𩋧	haai4
缺	kyut3
鮲	fuk6
竡	baak3
㝈	lyun4
㲲	dip6
𠹭	ko1
乬	geoi6
卭	kung4
憵	pik1
𧥺	kwan1
珙	gung2
襯	can3
䐔	ban2
㷈	ap1
噖	jam4
㹖	waan6
薅	hou1
傲	ngou6
嘣	bang1
䵇	sin3
犳	zoek3
傑	git6
龨	zeoi1
䯥	ngam6
葟	wong4
獕	ceoi1
郼	ji1
㘩	bei6
䋔	pei1
鈍	deon6
忲	taai3
㙏	fuk1
譌	ngo4
橃	fat6
蝏	ting4
徤	gin6
䁟	caa4
䄠	sim4
砤	to4
鎅	gaai3
眪	bing2
唘	kai2
炡	zing1
䜎	lou4
譏	gei1
㲆	ling4
鈘	ngai5
𨦪	joeng5
杯	bui1
㷝	dat6
顫	zin3
溙	taai3
熖	jim6
畄	lau4
猌	ngan6
粄	bun2
碆	bo1
䌯	hyun1
曁	kei3
鹹	haam4
億	jik1
卂	seon3
蝭	tai4
𢆡	nin1
鬐	kei4
䏆	cou4
㿐	ceoi1
鶧	jing1
丟	diu1
溽	juk6
麚	gaa1
䈬	pou4
𧰵	duk1
䌩	mit6
㪣	hiu1
呟	gyun2
佲	ming5
㪷	dau2
㲩	taap3
肂	si3
颱	toi4
䛽	zaap3
䈢	soi2
醣	tong4
㫡	dung1
㲥	tong4
曉	hiu2
褱	waai4
鎤	fong2
㘇	wing4
䍎	cyun3
塚	cung2
㵆	gou2
䁠	lim4
熁	hip3
㚚	kwang1
䝷	zi1
䄪	tiu2
㖨	luk6
紤	gau2
㐶	ci5
䜆	zip3
銰	ngaai6
㬲	tim1
槕	zoek3
𨯬	jyun4
𠂔	zi2
𨦉	ci3
墄	cak1
昜	joeng4
䲋	sam4
坹	jyut6
㽎	taam4
㺯	lung6
蛿	ham5
㠯	ji5
茰	jyu4
廋	sau1
㢯	deon1
䃪	taan4
𤱝	teon2
𦶠	gan1
蘭	laan4
踺	gin6
鯭	maang1
𣊊	hou6
𠴨	gwaan1
䙽	kit3
却	koek3
㾞	jau4
鷵	tou4
㢀	ci3
䘬	jung4
𥯨	si1
㤻	tung4
縉	zeon3
緈	hang6
迊	jing4
鑩	ngok6
栽	zoi1
寊	zing1
磥	leoi5
毴	bei1
岧	tiu4
𣿬	wui6
䀀	faan3
㡧	zing3
袥	tok3
擼	lou5
饊	saan2
𣉢	mai4
猩	sing1
䏥	taam1
瓉	zaan3
䈛	faai3
偉	wai5
牫	go1
鮙	taap3
僓	teoi4
乣	gau2
䡖	hing3
𨠫	jau4
鶚	ngok6
䄼	tim2
䥹	ngit6
㙟	long5
薆	oi3
䨓	leoi4
靋	lik6
㫣	man5
君	gwan1
橂	din6
斐	fei2
䒒	tiu4
㹌	caan2
佟	tung4
䬖	waang4
鸊	pik1
徺	hiu1
屑	sit3
䳕	fau4
辮	bin1
䤏	pei5
瞘	kau1
鋡	ham4
瓈	lei4
𡠻	zou6
笭	ling4
㰳	aa3
娼	coeng1
㞕	sit3
孾	jing1
孜	zi1
璠	faan4
街	gaai1
嬦	cau4
𢓁	gung1
怑	bun6
㻤	gik1
凴	pang4
爟	gun3
术	seot6
䎏	ham1
㺤	cim1
㾈	fu6
𠵇	keu4
鄫	cang4
駀	jau6
䡐	to4
蠤	cau1
譼	gaam1
䙵	kwai4
昉	fong2
畳	dip6
䥟	jit3
㚣	gaau2
𤣰	bou2
烳	pou2
𠫂	lou4
𤩧	daan1
皂	zou6
䐽	mun4
絺	ci1
䴹	gwo2
㻕	gwat6
色	sik1
唴	goeng6
蹹	daap6
爡	cit3
翁	jung1
倽	saa1
禥	kei4
姱	kwaa1
𢪎	faak3
垣	wun4
㪭	lou4
峬	bou1
䌥	jan5
峼	kuk1
鐉	cyun4
㶍	sin2
㖄	zau1
姂	fat6
湵	jau5
㳾	goeng1
珟	suk1
怓	naau4
圬	wu1
䬄	hyut3
䘱	jyu6
㙗	wui1
㓴	jyun5
庂	zak1
䃃	mong5
䫨	zeoi6
䨏	ci4
銧	gwong1
薇	mei4
㽘	gong2
𨟠	hyun1
鶸	joek6
㺎	jung4
𥤃	jau5
𡦃	waan4
蕫	dung2
羽	jyu5
𦮝	mong4
𪙛	nak1
䡕	sing4
螠	jik1
蟼	ging2
䢶	bong1
䗣	haam4
欒	lyun4
㩳	sung2
㔯	syun4
擂	leoi4
榆	jyu4
鮔	geoi6
錺	fong1
顙	song2
𡶶	gong3
䯟	deoi6
䥝	ou1
佌	ci2
磿	lik6
㿬	baa1
椃	hou4
䋓	zau3
麍	lau4
銇	leoi6
赮	haa4
巈	guk1
嚘	jau1
螘	ngai5
蕐	waa4
艾	ngaai6
𡤢	lo4
刮	gwaat3
錛	ban1
䃼	buk1
䞤	keoi4
㬐	zeon3
𤨨	man5
𢅺	zin2
䭟	jip6
欣	jan1
㶒	sim2
櫢	sau2
䟊	keoi4
咏	wing6
膄	sau3
狢	hok6
霚	mou6
箱	soeng1
儛	mou5
䅤	cap1
𤕭	zoeng1
傷	soeng1
謑	hai5
絟	cyun4
潘	pun1
㓒	cat1
顗	ngai5
𡛻	wing5
䁷	gok3
嬾	laan5
浘	mei5
䎞	ze2
喓	jiu1
蓉	jung4
塡	tin4
穕	cip3
㲈	siu4
檄	hat6
㕿	wo4
煭	lit6
患	waan6
䅕	geoi1
㮺	bun2
㚺	jan6
滰	koeng5
糫	waan4
㸙	ze1
卾	ngok6
窪	waa1
諆	hei1
䁹	pai5
䗔	hau4
訠	can2
㱟	pei1
㴯	zi1
𠲸	naam4
𤳙	jyun2
栫	zin3
鑢	leoi6
鑹	cyun1
𤍕	jau4
蕧	fuk6
㸬	bui3
嶨	hok6
婍	ji2
㫧	bou6
碏	coek3
𦆮	fai1
尥	liu6
㟈	kau4
㬊	wun6
郻	hiu1
罄	hing3
寶	bou2
𦻒	mou6
圎	jyun4
艍	geoi1
玖	gau2
䛊	hei1
陾	jing4
㮍	zin1
桽	wan2
㻬	tou1
嚧	lou4
挆	do2
鈣	koi3
妠	naap6
雪	syut3
抁	jin5
㱺	leoi4
㮄	bong2
㶋	jeoi6
血	hyut3
璣	gei1
䮱	zuk6
䡗	gung2
恮	cyun4
𤆍	cek3
駖	ling4
栲	haau2
噘	kyut3
䋻	nam4
辭	ci4
䢃	ngaai6
䀚	ngong4
漏	lau6
骶	dai2
䏴	saau3
嬙	coeng4
䅔	zi1
芞	hat1
噿	zeoi2
騊	tou4
䥡	jip6
㷍	leon4
鬚	sou1
䁕	man4
禝	zik1
𣲙	zeoi2
㯞	gyun3
濋	co2
䧨	jip6
𠵼	mang1
毾	taap3
囯	gwok3
𦂤	ping4
嗧	gaa1
鞠	guk1
黶	jim2
綕	zik1
㪴	git3
璐	lou6
䵕	geoi3
硱	kwan2
匹	pat1
輘	ling4
洘	haau2
礖	jyu6
𧚔	tung2
䴇	ling4
仕	si6
汷	zung1
砇	man4
糤	saan2
丬	baan6
碧	bik1
䲊	do6
䚎	cong1
誱	zit6
篬	coeng1
襁	koeng5
聾	lung4
𩗩	lau4
鑋	hing1
紩	dit6
𨯪	hon6
䵲	ciu1
翞	goeng1
𤄙	siu1
楝	lin6
䤫	caam4
䩸	jung4
敇	caak3
㧽	gu3
羙	gou1
萂	wo4
鹷	ling4
洅	zoi3
燖	cam4
𠊎	ngaai1
㺓	zaak3
𦆯	ban1
䩈	fui3
倦	gyun6
䬸	caan1
㣬	cap1
䍦	lei4
碄	lam4
㻮	caan3
鬝	haan1
潟	sik1
崝	zang1
韕	tou4
飄	piu1
桋	ji4
瘜	sik1
燊	san1
軭	waang1
俹	aa3
絲	si1
鈋	ngo4
擵	mo1
虆	leoi4
䵩	lai4
𢒰	juk1
藛	se2
㑲	naam4
㢞	jik6
櫁	mat6
銟	caa1
羳	faan4
䄴	jyut6
炂	zung1
蒬	jyun1
律	leot6
騲	cou2
㩤	fu1
䨵	daam6
蔳	sin6
歫	geoi6
鷭	faan4
㿏	kwan4
𠛪	tiu1
彎	waan1
𠎧	git3
柹	ci5
幠	fu1
㛕	jap1
㹵	jing5
㾅	zi2
菖	coeng1
㣜	jing4
檘	ping4
䧎	jyun5
䅾	sam4
烿	jung4
䮸	ak1
輰	joeng4
掫	zau1
莋	zok6
㫪	zung1
𠱾	zi6
𢑱	ji4
㟸	gou1
愵	nik6
遣	hin2
瘒	wan4
䚼	nuk6
升	sing1
鰊	lin6
㡄	seon1
𣜯	hyun1
蚯	jau1
𠙶	au2
䚗	gong1
乖	gwaai1
䔚	seon4
縤	sou3
嫝	hong1
輞	mong5
茨	ci4
鏆	gun3
焱	jim6
𨭦	jyun4
㒣	jing3
䯢	mo4
㖟	sau6
狗	gau2
魕	kei4
裾	geoi1
㖩	zeoi1
霗	ling4
𦸀	kei4
捠	bang1
砪	mou5
朏	fei2
䬅	lai6
肓	fong1
義	ji6
鐑	kit3
䣎	zi1
瀘	lou4
嬱	cim3
珴	ngo4
胠	keoi1
鸎	ang1
礮	paau3
𥐯	taan4
浾	zaa1
梍	zou6
緎	wik6
䁀	dai3
譆	hei1
摤	coeng2
呑	tan1
䟲	cung1
洄	wui4
婪	laam4
憴	sing4
褕	jyu4
譸	zau1
淧	mat6
鰭	kei4
䒀	bou6
䯸	ci3
㝊	sau2
儾	nong6
璞	pok3
濝	kei4
䤢	baat3
瞅	cau2
爛	laan6
騢	haa4
怕	paa3
蹥	lin4
哨	saau3
糓	guk1
亷	lim4
䔔	ging3
嚵	caam4
䤄	min5
䟮	fuk6
𣈴	miu4
侽	naam4
㱲	ji3
笖	ji5
䙾	si1
䖥	maau4
譀	ham3
霛	ling4
瞋	can1
叩	kau3
𩣪	hang1
㒖	ngau5
㤸	hik1
䄜	lei4
𢯊	dik1
朤	long5
猑	kwan1
兂	zaam1
鎒	nau6
䐭	zai6
麳	loi4
嵉	ting4
輎	saau1
𢯎	ngaau1
㦐	nei6
㤱	fu3
䁫	wat6
决	kyut3
醆	zaan2
䮃	keoi1
䏮	hip3
旚	piu1
耇	gau2
諩	pou2
䍹	zin1
靅	fai3
𪊽	gwan1
蹾	dan3
腲	wai2
麎	san4
耲	waai4
霳	lung4
㸐	jin4
𨠒	faan5
㱷	zaap6
芥	gaai3
勥	goeng6
䰚	man4
舘	gun2
㷹	zaau3
𤪳	wai6
蔜	ngou4
譡	dong2
𤨢	taan3
駣	tou4
騪	sau1
訧	jau4
莒	geoi2
疍	daan6
霂	muk6
礏	jap6
焙	bui6
𢳉	keoi1
窼	zaau1
㔣	leoi6
苶	nip6
獅	si1
䝩	zan3
𣁄	geoi2
棐	fei2
酰	sin1
襞	bik1
鄐	cuk1
䊧	pei3
㩷	hin1
牘	duk6
怹	taa1
躺	tong2
𢒑	coeng4
奨	zoeng2
攡	ci1
𡥼	me1
荄	goi1
真	zan1
牖	jau5
鴖	man4
矝	ging1
㔄	suk1
鄣	zoeng1
𠍅	mak6
渠	keoi4
䯂	san1
哢	lung6
誐	ngo4
慂	jung2
䲇	cuk1
翷	leon4
玸	fu4
噎	jit3
壟	lung5
溢	jat6
窡	zeot1
槸	ngai6
繅	sou1
𥴠	zyun2
菘	sung1
䚡	soi1
脹	zoeng3
譢	seoi6
䓢	gu3
䞆	so3
䴎	leoi5
㹷	hei1
㙸	pok3
䑭	dai3
㑙	dip3
碘	din2
闝	piu4
㮞	zit3
㖆	kuk1
筢	paa4
鈑	baan2
㝋	liu4
檺	gou2
咢	ngok6
犀	sai1
敀	baak3
鉒	zyu3
㮑	caap3
䑮	do2
䬎	gwok3
錆	coeng1
䧵	zam6
𡜍	zat6
硫	lau4
霏	fei1
鴭	deoi1
鎇	mei4
㝘	jung4
欴	long4
猿	jyun4
淀	din6
㓑	jing6
嗮	saai3
彠	wok6
眣	dit6
濡	jyu4
嚍	zeon3
趽	fong3
䪀	gun2
茪	gwong1
攇	hin2
樄	can4
㔛	kit3
牓	bong2
䭔	deoi1
𤑳	siu1
荾	seoi1
阞	lak6
筦	gun2
缼	kik1
裛	jap1
䬦	dau3
砙	ngaa5
歩	bou6
𡣖	soeng4
鄛	caau4
䗦	fung1
鐚	aa1
㵏	ceoi2
遀	ceoi4
鴅	fun1
𦬕	zung1
経	ging1
𨦨	pui3
䩧	kit3
婷	ting4
㹾	piu5
旾	ceon1
捥	wun2
銲	hon6
曯	zuk1
恵	wai6
䒗	hat1
颳	gwaat3
𥺦	dim3
䒩	wo4
䥢	lung4
貖	jik1
曘	jyu4
癪	zik1
旱	hon5
朦	mung4
𠈌	jyu4
苩	baak6
𢩦	zit1
鵆	hang4
䧺	hung4
竪	syu6
䮌	jau1
䊝	sit3
矦	hau4
㟳	leot6
麜	leot6
軙	can4
跭	hong4
襭	kit3
㮿	bat1
堧	jyun4
挘	lyut3
壽	sau6
蜨	sip3
汫	zeng2
湎	min5
馢	zin1
糲	lai6
灚	gaau2
庿	miu6
㫌	syun4
䐶	zaam1
棒	paang5
𨛘	sing1
㛇	zong1
鞿	gei1
垿	zeoi6
䓦	din2
䋎	zaan6
竱	zyun2
橶	gik1
漘	seon4
焭	king4
㑠	gin1
𢁾	ciu1
騷	sou1
蹏	tai4
笻	kung4
𢶕	zin2
㜔	ging2
䗑	jap6
班	baan1
𤽜	mui6
㑕	seoi3
垙	gwong1
蚉	man1
䤚	lei5
羣	kwan4
焴	juk1
𨮜	zim6
䑙	daam1
賽	coi3
𦿟	ji2
嘚	dak1
棨	kai2
鋚	tiu4
䁘	jiu5
襐	zoeng6
袾	zyu1
𧄦	fuk1
紷	ling4
鼀	cuk1
鯹	sing1
騼	luk6
畒	mau5
㽺	gap1
䖗	ngaam4
𣻹	gin1
幒	zung1
爺	je4
晸	zing2
𦱔	bei1
熵	soeng1
僊	sin1
賳	zoi1
叅	caam1
䆫	coeng1
茛	gan3
䡨	caai4
琭	luk6
䓆	zit3
蔢	po4
㢪	wu1
縐	zau3
偒	tong2
䚅	loi6
幛	zoeng3
䳭	zik3
蚖	jyun4
檙	caang4
氚	cyun1
崌	geoi1
鸄	gik1
媈	fai1
慼	cik1
穨	teoi4
㡃	fong1
𠉴	jyu5
忦	git3
蠳	jing1
嫃	zan1
輁	gung2
梎	au1
𤢂	suk1
䡔	kai2
弈	jik6
肛	gong1
𦲂	geoi2
䪥	haai6
袣	ji3
𠾵	zaa1
㳚	wat1
鷀	ci4
㯌	cyun4
㞱	sung1
檮	tou4
岄	jyut6
由	jau4
䘂	zim1
欍	kau5
䆡	laang1
祓	fat1
髉	bok1
㯘	fun2
脬	paau1
㴦	gun3
㣤	cin5
庸	jung4
䈴	him3
褔	fu3
昱	juk1
萴	zak1
嬢	noeng4
揋	wui1
䕾	jam4
疂	dip6
㼔	wan1
蕽	nung4
捼	no4
㭌	jyu4
䆺	pun1
淐	coeng1
悓	jin5
㕪	dam2
猀	saa1
㝪	dim3
㝡	zeoi3
壚	lou4
㼚	gong1
譂	cin2
蜓	ting4
䋾	zaa2
㠿	zi1
琌	ling4
𣋠	cai4
関	gwaan1
㕩	pong3
䵎	teon1
虁	kwai4
勲	fan1
㑢	koek3
壈	lam5
𡍵	zeon3
庤	zi6
擧	geoi2
𨊛	laak3
趓	do2
傟	ong2
灱	haau1
渟	ting4
目	muk6
鄚	mok6
氊	zin1
櫏	cin1
烸	hoi2
㝅	gau3
灘	taan1
傦	gwat1
覔	mik6
坶	muk6
䏬	mau4
咸	haam4
圓	jyun4
紪	cai1
獛	buk1
䰮	ji6
㦫	zaat3
俳	paai4
崜	do1
捸	dat6
䣪	put3
𧊀	gaa1
㘹	ci4
殐	suk1
㹨	jau6
琞	sing3
磱	lou4
鰑	joeng4
鳰	jap6
孥	nou4
臔	jin6
銦	jan1
㵓	zik6
葮	dyun6
𣿯	sam1
嗈	jung1
潮	ciu4
鰲	ngou4
㦂	soeng4
鎷	maa5
謕	tai4
獐	zoeng1
䒞	cam4
㻐	ceon1
鼥	bat6
䞥	jau6
橩	king4
釠	lyun6
皣	jip6
荒	fong1
㸉	sit3
繬	sik1
䄩	jik6
褽	wai3
恡	leon6
㽊	sip3
䋐	jyut6
鱮	zeoi6
廬	lou4
𨆯	buk6
汪	wong1
蟓	zoeng6
珖	gwong1
圅	haam4
䟁	haau1
𦴤	jing2
穃	jung4
嵦	hoi2
襚	seoi6
㷙	zin1
爣	tong2
晃	fong2
菩	pou4
𡀝	nam6
絴	coeng4
䈝	seoi1
噾	jam1
讟	duk6
騄	luk6
筲	saau1
胼	pin4
㫍	jau4
琪	kei4
鯃	ng4
䢤	seot6
痴	ci1
甗	jin5
鬸	lau6
㴭	jiu2
𨃴	gwat1
㱿	kok3
𩃭	cung4
陴	pei4
櫷	gwai1
㷯	bung6
䋪	o1
鈟	diu3
䒽	mong5
䉓	lo6
㭞	lyut3
冤	jyun1
䚂	haak3
䄖	jyu4
翋	laap6
珹	sing4
緕	cai4
鉳	bak1
瀙	can3
狖	jau6
㯔	ceoi3
㬍	bok3
䯦	maat3
卮	zi1
堟	zyun6
糩	kui2
譲	joeng6
廠	cong2
庶	syu3
㞩	laam4
疁	lau4
察	caat3
趮	cou3
氠	san1
碱	gaan2
鬡	ning4
䁝	jing4
䃽	gwai2
錗	neoi6
攱	gwai2
萱	hyun1
伉	kong3
峨	ngo4
心	sam1
栚	zam6
㫰	long6
彂	faat3
䫪	song2
汭	jeoi6
𠍇	caan3
䳤	bit3
奛	kong3
㐄	kwaa1
巭	gung1
㙊	coeng4
醌	kwan1
𦐂	jik6
藟	leoi5
瓂	goi3
桺	lau5
慱	tyun4
垾	hon6
䏎	fung4
謢	lou1
梳	so1
㼫	wun6
唟	heoi3
昲	fai3
萻	am1
毉	ji1
投	tau4
䄹	nin4
挗	kyut3
蜾	gwo2
䯈	jyun4
羚	ling4
裩	gwan1
𥇦	sik1
饂	wan1
焑	jin1
徖	cung4
醺	fan1
㶀	gaau1
𧪾	syun1
罏	lou4
沗	tim1
胊	keoi4
蝛	wai1
䬩	zaai1
膭	gwai1
舠	dou1
㧱	naa4
瀻	daai3
剶	cyun1
馼	man4
䨠	oi3
㔼	seon2
㴈	ngan6
㓨	ci3
鰹	gin1
㳻	zaak3
傄	gwaat3
俬	si1
榥	fong2
史	si2
𢺳	maan1
鏚	cik1
㸽	bui3
杌	ngat6
䣆	jing4
遖	naam4
䜁	hai6
苦	fu2
臲	jit6
䖕	zou2
曽	zang1
㨐	bau2
鴸	zyu1
䒕	siu2
柆	laap6
樥	pung4
㭭	baat3
䪳	wan5
䒦	faan3
貝	bui3
珕	lai6
䗐	si1
𣔼	gon1
蔀	bou6
䀧	hung2
齤	kyun4
㯈	cuk1
賿	laau4
顥	hou6
𡢄	man5
㞊	seot1
竩	ji4
镻	dit6
郿	mei4
魍	mong5
䵱	hik1
刧	gip3
点	dim2
彯	piu1
媌	maau4
㨘	saang2
齽	gam6
艡	dong1
㡉	gin1
鑍	jing1
韥	duk6
㶝	jing3
𥊌	caau4
駫	gwing1
頔	dik6
䮂	but6
㾋	jau1
伢	ngaa4
㔧	leoi6
巉	caam4
𧐅	zeoi1
狅	kwong4
翆	ceoi3
夓	haa6
脚	goek3
䜮	liu4
䵼	soeng1
轠	leoi4
僾	oi3
悑	bou3
岮	to4
㣺	sam1
𨨥	sam1
鮘	doi6
䞋	can3
㶅	hok6
咔	kaa1
弊	bai6
㵷	bin6
炯	gwing2
䂾	loi5
厛	teng1
㧵	pau4
虌	bit3
爏	lik6
掚	loeng5
㾺	maa6
駾	teoi3
䎢	hat1
郭	gwok3
抬	toi4
檥	ngai5
諚	pin4
䛋	gei6
綛	jan2
䛞	hon5
諴	haam4
㗡	jing4
䟨	man4
𥻟	no6
歶	jyu4
急	gap1
𧎚	haa1
謲	cam3
槫	tyun4
嚩	bok3
闧	jyun5
䉌	seoi6
懦	no6
䆧	wo1
煿	bok3
㵇	tim4
䎻	zau3
硦	lok6
䰠	san1
䉃	zoeng2
䳹	kau3
虅	tang4
逯	luk6
嚗	bok3
起	hei2
脽	seoi4
巻	gyun2
槴	wu6
䍫	to4
吲	jan5
佋	siu6
䴋	waan4
𥬇	siu3
㙂	deoi6
㰂	sam2
崰	zi1
秡	bat3
羠	ji4
澼	pik1
𩡗	cau3
煔	sim2
壖	jyun4
䭏	bin2
櫸	geoi2
胛	gaap3
儂	nung4
蛽	bui3
㯄	zi1
窗	coeng1
伶	ling4
羮	gang1
齝	ci1
𦲽	jan1
軒	hin1
螙	dou3
㦈	oi3
導	dou6
霱	wat6
曈	tung4
漌	gan2
菾	tim4
䋬	tim1
沕	mat6
㿂	zing1
籟	laai6
气	hei3
狍	paau4
䃠	syun4
圲	cin1
硾	zeoi6
烱	gwing2
踳	cyun2
篈	fung1
鰳	lak6
䡲	saan4
𡞰	ci4
䧇	ji1
殱	cim1
夰	gou2
駅	jik6
䨳	hei3
澨	sai6
㔈	fei6
蒢	ceoi4
䇢	fu2
價	gaa3
韭	gau2
銐	cai3
㱝	sei2
咵	kwaa2
際	zai3
銊	seot1
忠	zung1
弰	saau1
㕙	zeon3
㩥	cim1
𦠜	jip6
䮏	ng4
黍	syu2
䇨	gung3
雁	ngaan6
嫼	aat3
瞾	ziu3
䮆	pei1
睒	sim2
䖍	kin4
呈	cing4
䘖	haam4
堚	waan4
䮩	gwat1
槉	zat6
